Segment,Customers,Revenue_Share_%,Avg_Recency_Days,Avg_Monetary,goal,channels,message,budget,kpi
Champions,1151,34.7,35.9,496.4,Retain & grow,"Email VIP, Loyalty rewards",Early access + exclusive offers,High,"Churn rate, NPS"
Loyal Customers,931,20.7,11.1,366.0,Upsell,Email personalization,Personalized recommendations,Medium-high,AOV growth
At Risk,1565,32.9,50.7,346.6,Win back,"Email win-back, Retargeting",We miss you — 15% off,Medium,Win-back rate
Lost,853,11.7,43.2,225.8,Reactivate or sunset,One-off email,Comeback offer,Low,Reactivation rate
